Concern,Website Feature,Affected Files,Defense Location
"1. User authentication - credential theft","Login/registration, password reset","PS_Django_DB/users/models.py (new), users/views.py (new), settings.py","Django AbstractUser, password hashing, session management"
"2. User-contribution mapping - privacy/GDPR","User contributions tracked in bookkeeper only","language.py (create operations with user_id param), bookkeeper/models.py (ClaimVersion/EdgeVersion with created_by_user_id), users/models.py (User extends AbstractUser, UserProfile for reputation)","User data only in Django DB, graph DB contains no PII, bookkeeper links via user_id (FK to User)"
"3. Graph integrity - vandalism/pollution","Claim/source/connection creation","language.py (create_claim, create_source, create_connection), schema.py (validation rules)","Input validation, rate limiting per user, spam detection"
"4. Attribution authenticity - impersonation","User profiles, contribution attribution","users/models.py (User, UserProfile), logging.py (created_by_user_id field), bookkeeper/models.py","Authenticated sessions required for writes, immutable bookkeeper logs"
"5. Resource exhaustion - DoS via computation/storage abuse","All graph operations, especially traversal queries","database.py (execute_cypher), language.py (all query methods), server.js (API endpoints)","Query timeouts, connection pooling, rate limiting per IP/user"
"6. Injection attacks - Cypher injection, XSS","Claim content, source URL/title/author, connection notes","language.py (all create/edit functions), schema.py (validation layer), graph.js (rendering claim content)","Parameterized Cypher queries (already done), XSS sanitization in frontend, content length limits"
"7. Session hijacking - XSS/CSRF","Login sessions, CSRF tokens","settings.py (session config), users/views.py (auth endpoints), server.js (middleware)","Django CSRF middleware, secure cookies (SESSION_COOKIE_SECURE), SameSite cookies"
"8. Data exfiltration - bulk scraping user patterns/private data","User-contributed content queries, graph traversal API","server.js (API endpoints), services.py (temporal queries), database.js (formatForCytoscape)","Rate limiting, pagination on query results, permission checks before returning data"
"9. Privilege escalation - exploiting bugs for admin/edit rights","Admin verification, edit/delete operations","permissions/models.py (new), language.py (edit_node, delete_node, permission checks), users/views.py (role checks)","Permission system (can_user_edit, can_user_delete), Django auth decorators"
"10. Supply chain - compromised dependencies","All dependencies (Django, Express, Cytoscape, psycopg2)","requirements.txt, package.json, pnpm-lock.yaml","SCA tools (Dependabot, Snyk), SAST scans (Bandit, ESLint security plugins)"
"11. Content moderation bypass - harmful content in claims/sources","Claim/source text fields, verification requests","language.py (create_claim, create_source), social/models.py (Rating, Comment - new), Admin verification queue (new)","AI-assisted filtering, user reporting, admin review queue, content hashing for duplicates"
"12. Verification system abuse - gaming verification queue, rating manipulation","Verification requests, user ratings","social/models.py (Rating model - new), social/services.py (rating aggregation - new), Admin queue (new)","Rate limit on verification requests, Sybil detection (IP clustering), rating variance analysis"
"13. Graph topology attacks - circular reasoning, fork-bombing versions","Fork/merge operations, connection creation, version history","language.py (create_connection, edit_node), logging.py (version logging), services.py (get_graph_at_timestamp)","Depth limits on traversal, cycle detection, version creation rate limits, soft-delete for fork bombs"
